"name","description",lat,lon
"Aream vente","53 r francois 1er  75008 paris 8ème 75008
01 58 36 36 58",48.869663,2.301892
"Arias immo","26 rue guersant 75017 paris 75017
01 53 81 00 33",48.881314,2.289535
"Arkade","11 rue lebon  75017 paris 17ème 75017
01 45 72 44 29",48.88097,2.291951
"Armor immobilier","95 avenue felix faure  75015 paris 75015
01 45 57 52 13",48.83922,2.283492
"Arobase immobilier","2 rue olivier de serres  75015 paris 15eme 75015
09 50 24 25 08",48.837158,2.298629
"Arobazimmo","11 rue dulong  75017 paris 17ème 75017
01 42 78 18 74",48.883706,2.317803
"Artemis immobilier","41 rue blanche  75009 paris 9ème 75009
01 40 16 00 00",48.88038,2.331334
"Arthur immo  odyssee","116 rue de menilmontant  75020 paris 75020
01 40 33 88 21",48.869861,2.394256
"Arthur loyd","passy kennedy 104 avenue du président kennedy 75016 paris 16ème 75016
01 41 40 06 00",48.853307,2.281361
"Artois adb transactions","35 rue de surène  75008 paris 75008
01 47 42 11 11",48.871455,2.319027
"Arts - immobilier","39 rue des vinaigriers 75010 paris 75010
01 42 09 69 59",48.873119,2.361638
"As immobilier","54 rue assas  75006 paris 75006
01 40 49 01 00",48.846519,2.33069
"Asda immobilier investissement","1 avenue alphand  75116 paris 16eme 75116
01 40 67 10 06",48.874892,2.285771
"Asie immo conseil","72 avenue de choisy  75013 paris 75013
01 45 83 81 31",48.824003,2.36179
"Asinvestimmo","44 rue brunel  75017 paris 17ème 75017
01 40 55 81 81",48.878947,2.287734
